crop_type,soil_moisture,temperature,humidity,canal_level,wind_speed,crop_age_days,predicted_moisture_6h,water_need_code
Rice,73.05,37.47,54.12,42.55,4.23,14.6,55.9,0
Cotton,56.59,24.92,40.65,75.95,2.9,48.4,45.07,1
Chilli,32.14,29.78,51.61,79.95,3.19,86.0,16.28,2
Maize,67.2,20.59,79.37,81.1,2.34,56.7,64.24,0
Maize,20.91,20.18,62.14,76.61,1.3,118.1,14.0,2
Groundnut,69.21,34.11,44.44,30.85,0.28,13.6,59.7,0
Rice,56.3,22.37,52.19,36.02,2.12,106.2,47.78,1
Cotton,22.75,30.96,87.45,94.78,3.97,24.8,17.35,2
Tomato,20.57,33.92,58.76,59.85,5.33,32.5,5.0,2
Rice,67.56,20.64,59.29,77.9,5.87,68.1,62.01,0
Chilli,35.51,28.97,43.42,63.93,4.76,105.9,21.8,2
Groundnut,77.25,33.68,51.75,93.21,0.93,55.5,63.76,0
Cotton,68.35,37.79,79.81,88.19,3.45,42.3,58.15,0
Cotton,63.87,25.98,78.24,33.52,5.34,54.2,57.06,0
Cotton,34.5,39.48,58.95,89.62,5.95,20.4,20.9,2
Cotton,64.63,36.89,84.15,37.0,2.6,102.2,56.29,0
Chilli,81.37,33.01,55.91,49.69,7.43,110.7,63.65,0
Rice,21.41,27.84,82.54,86.61,6.36,84.3,12.45,2
Groundnut,37.83,34.22,36.74,39.16,6.81,58.9,21.11,2
Maize,31.43,36.32,54.1,36.17,5.33,77.6,11.14,2
Chilli,42.53,26.07,82.03,70.18,3.31,70.7,33.9,1
Maize,66.96,39.86,84.57,99.97,7.47,15.7,47.85,1
Tomato,48.2,38.17,76.6,21.8,7.21,53.4,29.08,2
Groundnut,54.95,29.71,71.84,73.1,6.63,82.3,44.51,1
Cotton,36.99,34.46,79.85,57.43,7.13,103.3,24.24,2
Chilli,24.89,30.48,73.92,46.96,7.33,49.5,5.14,2
Maize,33.69,35.22,48.98,77.49,5.97,100.1,13.04,2
Cotton,75.18,36.54,60.64,59.94,1.6,93.3,64.4,0
Chilli,57.17,20.46,71.34,81.8,4.31,112.2,48.08,1
Maize,41.46,21.58,67.33,76.95,4.93,118.8,34.16,1
Maize,70.29,26.73,83.68,98.66,6.19,14.6,59.02,0
Tomato,19.51,38.35,61.06,82.98,3.96,58.1,5.0,2
Rice,32.77,27.97,44.79,16.01,4.1,95.1,21.42,2
Chilli,31.11,37.75,46.8,80.16,7.96,100.5,8.96,2
Groundnut,83.98,29.25,81.53,68.47,3.62,19.1,74.35,0
Rice,64.43,25.78,35.48,18.08,1.04,76.7,56.27,0
Groundnut,58.25,38.01,82.8,64.49,5.68,108.8,45.41,1
Cotton,15.35,31.21,38.06,77.57,2.9,35.0,5.0,2
Tomato,27.9,27.21,56.54,27.75,1.99,48.2,17.48,2
Chilli,59.49,20.89,79.01,49.14,5.03,53.4,49.19,1
Rice,41.58,22.22,57.42,58.82,7.63,53.4,30.15,1
Cotton,79.7,22.79,80.23,47.18,2.5,71.8,73.66,0
Cotton,68.53,27.3,40.52,88.84,2.98,16.7,59.37,0
Maize,46.32,32.15,63.13,25.2,3.72,95.7,33.28,1
Rice,67.47,26.15,67.04,79.44,5.5,23.5,60.36,0
Groundnut,83.28,21.31,84.0,80.03,3.17,99.5,78.65,0
Maize,47.27,25.3,40.15,50.32,3.4,11.9,38.2,1
Groundnut,59.98,28.17,53.62,58.55,5.61,96.6,44.62,1
Cotton,79.31,39.85,71.26,23.82,7.88,49.1,66.07,0
Cotton,32.41,27.86,88.9,27.56,2.53,82.1,19.62,2
Cotton,77.06,21.78,81.66,57.85,4.68,29.7,75.64,0
Tomato,21.83,31.62,81.56,30.22,6.36,69.1,10.26,2
Maize,60.39,38.39,63.45,82.58,1.7,42.9,47.17,1
Maize,69.8,35.73,66.04,65.46,6.55,10.4,58.52,0
Maize,58.02,36.72,82.22,15.09,2.84,89.8,40.76,1
Rice,49.69,38.56,82.83,42.21,0.89,24.4,40.5,1
Chilli,58.21,32.73,79.13,87.26,0.2,113.4,47.05,1
Rice,25.62,39.9,80.02,34.97,0.26,69.8,14.02,2
Cotton,30.09,20.67,83.38,74.77,6.38,10.2,23.28,2
Cotton,33.89,36.7,41.26,18.44,5.4,113.9,18.67,2
